project,c_hash,date,msg
commons-geometry,8c1ac8e74cc22179848519f9258f95063101dff1,2019-11-28 12:48:19+01:00,"Removed ""onCut"" check which at that point is always ""true"".

Reported by ""sonarcloud.io""."
commons-geometry,d7fb844a13c56823155e9797844ab345c3375691,2019-11-28 13:48:15+01:00,"Avoid several method having identical implementation.

Aliases should call the ""primary"" method.

Reported by ""sonarcloud.io""."
commons-geometry,110c707464379e55bb5d9f48d955a980bf727228,2019-11-28 14:08:47+01:00,"Anonymous inner class replaced with lambda.

Reported by ""sonarcloud.io""."
commons-geometry,97faa297e5d2b6133d1c2ca97d5aa19222f3dedf,2019-11-28 14:14:07+01:00,"Duplicate ""import"" removed.

Reported by ""sonarcloud.io""."
commons-geometry,775ea17ea034aa686fe75d81b7dd074c9226d781,2019-11-28 14:19:22+01:00,"Simplify lambda expressions.

Reported by ""sonarcloud.io""."
commons-geometry,4cdadae88b72f5edd4302f452dacacc57ae113d5,2019-11-28 14:33:18+01:00,"Use ""isEmpty()"".

Reported by ""sonarcloud.io""."
commons-geometry,0dd2ad4964ef2d85973258858e3f586d573c8e27,2019-11-28 14:54:23+01:00,"Prefer method reference (over lambda).

Reported by ""sonarcloud.io""."
commons-geometry,219b00f96c2c55b506a1f8f8bfc687c592b75b90,2019-11-28 15:07:16+01:00,"Spurious ""throws"" clauses.

Reported by ""sonarcloud.io""."
commons-geometry,84311ac7d630554c2b84aac9e1e54e09d930dfed,2019-11-29 02:18:08+01:00,"Standard order for assertions arguments (JUnit).

First argument is the expected value, second argument is the actual value.

Reported by ""sonarcloud.io""."
commons-geometry,fbc1e907ca19b76e27d6be05e429ca634082f597,2019-11-29 03:01:20+01:00,"Order of arguments in unit tests.

Reported by ""sonarcloud.io""."
commons-geometry,67ce2150e70245ce26cf2c7fab8a3455d4bcbafd,2019-12-13 01:06:23-05:00,GEOMETRY-63: small changes based on sonarcloud report: using method references instead of lambdas and moving internal methods to the classes that use them
commons-geometry,fb280769718d4dcdce5c9bef6112410765164b72,2020-01-27 23:09:20-05:00,changing LinecastCheckerXD returns() and returnsNothing() methods to expect() and expectNothing() for better sonarqube reporting
commons-geometry,015f466c1f25a5bcd993bb436692b7922ef23a61,2020-06-15 09:43:15-04:00,GEOMETRY-63: Fix some SonarQube smells
commons-geometry,b60aee205a76a1d6112508c22dc6d3f310fe7f23,2021-04-21 11:16:51-04:00,GEOMETRY-63: fixing various PMD and SonarQube issues
commons-numbers,eefcd5f64158e7da2764a63be5b9fd7734146af8,2019-09-29 15:38:10+02:00,"Exceptions must be ""Serializable"".

Reported by ""SonarQube""."
commons-numbers,3b0c9883a737f3057494c785d1271956440b0b62,2019-09-29 15:47:43+02:00,"Useless use of ""return"" and braces.

Reported by ""SonarQube""."
commons-numbers,f0358f4c8a48b7fc21c51686d957a23f35c50e7a,2019-09-29 15:53:40+02:00,"Make default constructor ""private"".

Reported by ""SonarQube""."
commons-numbers,80ddc95073a938faf147f59fac97cd60078014cc,2019-09-29 15:59:20+02:00,"Useless assignment.

Reported by ""SonarQube""."
commons-numbers,dc0de568f22370739cf8e45ad17fa7d3fac3d034,2019-09-29 15:59:52+02:00,"Diamond operator (generics).

Reported by ""SonarQube""."
commons-numbers,c3c7c1d3a987b0c26bbea38b3970fbf50758b01f,2019-09-29 16:06:22+02:00,"Simplify.

Reported by ""SonarQube""."
commons-numbers,017e03819b61b00ec702ede9264892b849b8b9a9,2019-11-29 12:44:11+01:00,"Order of arguments in Junit assertions.

Reported by ""sonarcloud.io""."
commons-numbers,5791e5b0ff2c2056b22481ef513ddef86de6ddad,2019-11-29 13:01:38+01:00,"Alias should call ""primary"" method.

Reported by ""sonarcloud.io""."
commons-numbers,4860e9d7b134650d738c51670d432221903104a8,2019-11-29 14:23:21+01:00,"Ensure ""long"" arithmetics.

Reported by ""sonarcloud.io""."
commons-numbers,d59daba7a06349db19a044068a90b1ed32e5c5a3,2019-12-04 23:35:33+01:00,"Order of arguments in Junit assertions.

Reported by ""sonarcloud.io""."
commons-numbers,b726f8299aee7769ad317f7251eec414c8d63548,2019-12-04 23:40:01+01:00,Disable SonarQube locally.
commons-numbers,58da8554b8598b4384cf9a711b5a1512a3090d2c,2019-12-05 00:48:05+01:00,"Revert ""Disable SonarQube locally.""

This reverts commit b726f8299aee7769ad317f7251eec414c8d63548."
commons-numbers,2bc8b1660a7c8d471c29542bae181c4ed6379a59,2019-12-05 00:59:43+01:00,Disable SonarQube rule.
commons-numbers,5fec6e10970a7e17e36f5924a14741c726f1ab46,2019-12-05 02:23:15+01:00,"Disable SonarQube rule.

The rule was triggered whatever the order of the assertion arguments."
commons-numbers,c83453e4745f7942686790c043d42886ebc78d4c,2020-06-29 15:41:52+01:00,Fix SonarCloud: Test scope for JUnit5 can be package-private
commons-numbers,7ab58cc1d403611d1869847260953d0302154acc,2020-06-29 15:52:45+01:00,Fix SonarCloud: Remove nested ternary
commons-numbers,4077b9ab4d578d4bce6994bafa6b90a4fa4bee7a,2020-06-29 15:56:14+01:00,Fix SonarCloud: Use assertNotEquals
commons-numbers,b6d445a2dabda437dbe4c15c7bf9d953fe2e18aa,2020-08-05 18:49:48+02:00,"Add ""sonarcloud"" badge."
commons-numbers,6684c9e0a2d71d0e4c86cc47b1476c9659ac1460,2021-02-22 22:51:32+00:00,"Fix sonar issues

Remove public keyword from tests.

Swap expected and actual values.

Only one possible runtime exception in the assertThrows.

Use assertNotEquals."
commons-rng,610747de60200b0e037cd15a556c0ccafdee113f,2016-12-23 14:17:42+01:00,"Unnecessary assignments.

""Dead stores"" spotted by ""Sonar""."
commons-rng,14871a99fde1c6d5ada880bdc7811a4970ba3955,2019-03-03 13:35:22+01:00,"Nits.

Issues reported by ""SonarQube""."
commons-rng,94e6aa5908de62bde09463d783dac314fee04f69,2019-05-17 14:32:52+01:00,Fixing sonar code issues and updated deprecated generator.
commons-rng,cd666e2b720c1b91a88274a5080126f760ca02a3,2019-09-10 13:03:51+02:00,"Make method explicitly synchronized to match parent class implementation.

Fix suggested by SonarQube."
commons-rng,223ee2d0567142376380b55734bfa1111c61ab1a,2019-09-11 20:17:09+02:00,"Badge for ""SonarQube"" analysis."
commons-rng,0fb91cfe8a6d66470ebcbcb7cc06c8a8ce9579ef,2019-10-03 00:06:02+01:00,"MersenneTwister: Refactor state filling procedure into sub-methods.

Addresses complexity issue raised by SonarCloud."
commons-rng,4a68a7ccecafc965d5e5429f24899fffb32bf3b1,2019-10-09 11:23:37+01:00,"ChengBetaSampler: Update from reference paper.

Comment algorithm steps.

Change constants to double precision using the reference paper
definitions.

Comment clipping of w to Double.MAX_VALUE.

These changes clarify the algorithm to address the complexity issue
raised by sonar."
commons-rng,44cacbccb933925ae42c9284ca493e0a5f8fc50c,2020-06-30 15:59:05+01:00,Fix SonarCloud: Use assert NotEquals/NotSame/Equals
commons-statistics,cb0d142c3e4ed39cb85b4beafeb9a7473f9d903f,2019-11-29 14:35:42+01:00,"Ensure ""double"" arithmetics.

Reported by ""sonarcloud.io""."
commons-statistics,95735be6c1d9842b17199544a4ec711b6ff7560e,2019-12-02 01:16:48+01:00,"Order of arguments in Junit assertions.

Reported by ""sonarcloud.io""."
commons-statistics,852ad1a38ad842b04b4e91b531c4832168fd2c81,2019-12-02 01:21:11+01:00,"Removed condition that was always true.

Reported by ""sonarcloud.io""."
commons-statistics,21c382110ac4106330112497aa03bf9dc2129ebe,2019-12-02 01:30:15+01:00,"Call ""primary"" method (to avoid identical implementation).

Reported by ""sonarcloud.io""."
commons-statistics,fbf1ed532cc65ddbd84126c77bfb64da3f8706eb,2020-06-29 14:23:03+01:00,Fix SonarCloud: cast to double.
commons-statistics,fb40553df59940377a2193e20b7a4cebbfb27e83,2020-06-29 14:26:36+01:00,Fix SonarCloud: Assertion should contain the error message.
commons-statistics,322245cc81e28e101a5c559588c7acc949c017fc,2020-06-29 15:20:03+01:00,Fix SonarCloud: Extract nested ternary
commons-statistics,c966c50007a86738b2dfde9d339ee6f06654ce95,2020-06-29 15:23:26+01:00,Fix SonarCloud: Use assertEquals
commons-statistics,6425b89d12fbe3f0458b9a637b0881e27434b71a,2020-06-29 15:34:53+01:00,Fix SonarCloud: Test scope for JUnit5 can be package-private
commons-statistics,e6f7da62aae6638e9305ad4c242529765b4c5821,2021-02-22 22:04:58+00:00,Fix sonar issue: Remove public keyword from test
cxf,7d8882b7f557ad6dbf3cb61c3c8c1956a03fb12b,2009-08-20 02:36:47+00:00,"Try adding config for checkstyle to reporting to see if it fixes sonar

git-svn-id: https://svn.apache.org/repos/asf/cxf/trunk@806023 13f79535-47bb-0310-9956-ffa450edef68"
cxf,0f3351ab3ffb316706226445f742768b103e3cb3,2009-08-29 02:18:55+00:00,"Add a flag to the location of the pmd/checkstyle things.   Still trying
to get sonar to work since the latest version of sonar.

git-svn-id: https://svn.apache.org/repos/asf/cxf/trunk@809083 13f79535-47bb-0310-9956-ffa450edef68"
cxf,1919eb9258a5f0ea77527f82be62d772b7544b6c,2012-05-01 16:01:25+00:00,"[CXF-4002] Remove the @readonly for classesDIr as it seems to break
certain Sonar setups.   Not sure why and not able to reproduce it.

git-svn-id: https://svn.apache.org/repos/asf/cxf/trunk@1332718 13f79535-47bb-0310-9956-ffa450edef68"
cxf,dcd2a0b8082be35509483337c92581908ddd5948,2012-10-15 13:36:46+00:00,"clean up for some sonar issues

git-svn-id: https://svn.apache.org/repos/asf/cxf/trunk@1398285 13f79535-47bb-0310-9956-ffa450edef68"
cxf,a8a56cb4e394dd1d7e99c7398968b8cbe061e500,2019-04-22 12:39:41+03:00,cxf-core: fix Sonar warnings
cxf,2c89d63ad40544c7b346d252398f010ba3b50a66,2021-04-02 09:07:35+02:00,very minor  SonarLint (#762)
daffodil,669c702e13c2c1d101fb4da665095b15aa0c5bac,2020-02-07 10:11:23-05:00,"Configure Sonarcloud.io
- sonarcloud workflow with compilation of code and tests, and sonarcloud
action to do the scanning and upload to site based on
sonar-scanner.properties specification
- properties file with organization, projectKey, module information etc

DAFFODIL-2275"
daffodil,f2b12718e0329ecd7dc4aac01e888426cc514ea2,2020-03-24 10:49:41-04:00,"Update github actions/checkout to use v2.0.0

There is a bug in actions/checkout v1.0.0 that prevents re-running a
github workflow, which is needed in some cases when there is a random
failure (e.g. network failure downloaded dependencies). This updates it
to v2.0.0, which fixes this issue. Also updates SonarCloud to use a
specific version instead of master. We've had issues in the past where
the master branch was undergoing development and broke our builds.
Sticking to a specific version prevents that.

DAFFODIL-2301"
daffodil,b1d4c5412db985ecfdbb6fa6c860f8205991b902,2020-03-24 10:00:55-04:00,"Only run the SonarCloud action when triggered in the Daffodil repo

The SonarCloud action is currently configured to always run on any push,
regardless of the repo that the branch was pushed to, including the main
repo or any GitHub forks. And that action is configured to always use
the Apache Daffodil SonarCloud project, which requires a SONAR_TOKEN
secret that forks will not have. This means that any pushes to a fork
will result in a failure of the SonarCloud action, which might be
confusing to new users.

This adds a condition to the SonarCloud job so that it is only run when
the repository it was triggered from is the main Daffodil repository.
This repo will always have the correct SONAR_TOKEN so that the action
can succeed.

DAFFODIL-2300"
daffodil,e42d45e31a03418ec953dcfc54fb334aa9476de1,2020-04-06 15:02:13-04:00,"Disable Coursier for library management

SBT 1.3.x switched to Coursier for library management. But a bug in
Coursier used by SBT causes retrieveManage to stop working:

  https://github.com/sbt/sbt/issues/5078

This feature is needed for SonarQube. So disable Coursier, and use the
old Ivy for library management.

DAFFODIL-2314"
daffodil,075ed018d786d332deddc5e20169939f95470fef,2020-04-14 14:51:24-04:00,"Sonarcloud Updates

-- add comment within empty methods

DAFFODIL-2275"
daffodil,ab8654e8efffe87ac7e224edaca4c6954d40b9a8,2020-11-20 12:35:29-05:00,"Ensure src/main directories exist to make Sonarcloud happy

Sonarcloud requires that the src/main directory exists for its scans,
even if there are no sources. Commit 064d7b8655 removed all the .keep
files which caused the src/main directory in daffodil-test and
daffodil-test-ibm1 to be deleted since those modules have no actual
sources. But this caused Sonarcloud failures.

To fix this, add back the .keep files for only these two directories so
that sonarcloud scan will work. It's also possible some IDE's might be
unhappy without src/main directories, so this isn't necessarily
sonarcloud specific.

DAFFODIL-2430"
daffodil,09d46dc7ca664097e463842fd97bd83352479a0c,2020-12-03 10:53:44-05:00,"Fixes sonarcloud duplication error

- adds sapi/japi and Main.scala to cpd exclusions list

DAFFODIL-2275"
